currency,code,mid,effectiveDate
dinar tunezyjski,TND,1.3047,2023-07-20
dirham marokański,MAD,0.4069,2023-07-20
dirham ZEA (Zjednoczone Emiraty Arabskie),AED,1.079,2023-07-20
dobra (Wyspy Świętego Tomasza i Książęca),STN,0.1798,2023-07-20
dolar bahamski,BSD,3.9612,2023-07-20
dolar barbadoski,BBD,1.9627,2023-07-20
dolar belizeński,BZD,1.966,2023-07-20
dolar brunejski,BND,2.9906,2023-07-20
dolar Fidżi,FJD,1.7859,2023-07-20
dolar gujański,GYD,0.018895,2023-07-20
dolar jamajski,JMD,0.0257,2023-07-20
dolar liberyjski,LRD,0.0215,2023-07-20
dolar namibijski,NAD,0.2218,2023-07-20
dolar surinamski,SRD,0.1028,2023-07-20
dolar Trynidadu i Tobago,TTD,0.5843,2023-07-20
dolar wschodniokaraibski,XCD,1.4636,2023-07-20
dolar Wysp Salomona,SBD,0.4802,2023-07-20
dolar Zimbabwe,ZWL,0.000831,2023-07-20
dong (Wietnam),VND,0.00016762,2023-07-20
dram (Armenia),AMD,0.010156,2023-07-20
escudo Zielonego Przylądka,CVE,0.0402,2023-07-20
florin arubański,AWG,2.1896,2023-07-20
frank burundyjski,BIF,0.001401,2023-07-20
frank CFA BCEAO ,XOF,0.006806,2023-07-20
frank CFA BEAC,XAF,0.006663,2023-07-20
frank CFP  ,XPF,0.037285,2023-07-20
frank Dżibuti,DJF,0.022257,2023-07-20
frank gwinejski,GNF,0.000461,2023-07-20
frank Komorów,KMF,0.009023,2023-07-20
frank kongijski (Dem. Republika Konga),CDF,0.001593,2023-07-20
frank rwandyjski,RWF,0.003389,2023-07-20
funt egipski,EGP,0.1283,2023-07-20
funt gibraltarski,GIP,5.1229,2023-07-20
funt libański,LBP,0.000264,2023-07-20
funt południowosudański,SSP,0.004023,2023-07-20
funt sudański,SDG,0.0066,2023-07-20
funt syryjski,SYP,0.0016,2023-07-20
Ghana cedi ,GHS,0.3515,2023-07-20
gourde (Haiti),HTG,0.0288,2023-07-20
guarani (Paragwaj),PYG,0.000546,2023-07-20
gulden Antyli Holenderskich,ANG,2.1989,2023-07-20
kina (Papua-Nowa Gwinea),PGK,1.0946,2023-07-20
kip (Laos),LAK,0.000207,2023-07-20
kwacha malawijska,MWK,0.003762,2023-07-20
kwacha zambijska,ZMW,0.208,2023-07-20
kwanza (Angola),AOA,0.0047,2023-07-20
"kyat (Myanmar, Birma)",MMK,0.001887,2023-07-20
lari (Gruzja),GEL,1.5444,2023-07-20
lej Mołdawii,MDL,0.2258,2023-07-20
lek (Albania),ALL,0.043912,2023-07-20
lempira (Honduras),HNL,0.161,2023-07-20
leone (Sierra Leone),SLE,0.202,2023-07-20
lilangeni (Eswatini),SZL,0.222,2023-07-20
loti (Lesotho),LSL,0.2218,2023-07-20
manat azerbejdżański,AZN,2.3312,2023-07-20
metical (Mozambik),MZN,0.0613,2023-07-20
naira (Nigeria),NGN,0.005125,2023-07-20
nakfa (Erytrea),ERN,0.2629,2023-07-20
nowy dolar tajwański,TWD,0.1275,2023-07-20
