currency,code,mid,effectiveDate
riel (Kambodża),KHR,0.00096,2023-07-21
rubel białoruski,BYN,1.2955,2023-07-21
rubel rosyjski,RUB,0.0434,2023-07-21
rupia lankijska,LKR,0.01226,2023-07-21
rupia (Malediwy),MVR,0.2563,2023-07-21
rupia Mauritiusu,MUR,0.0875,2023-07-21
rupia nepalska,NPR,0.030163,2023-07-21
rupia pakistańska,PKR,0.0141,2023-07-21
rupia seszelska,SCR,0.2963,2023-07-21
sol (Peru),PEN,1.1081,2023-07-21
som (Kirgistan),KGS,0.0451,2023-07-21
somoni (Tadżykistan),TJS,0.362,2023-07-21
sum (Uzbekistan),UZS,0.000341,2023-07-21
szyling kenijski,KES,0.027967,2023-07-21
szyling somalijski,SOS,0.006959,2023-07-21
szyling tanzański,TZS,0.001618,2023-07-21
szyling ugandyjski,UGX,0.00108,2023-07-21
taka (Bangladesz),BDT,0.036508,2023-07-21
tala (Samoa),WST,1.466,2023-07-21
tenge (Kazachstan),KZT,0.008908,2023-07-21
tugrik (Mongolia),MNT,0.001149,2023-07-21
vatu (Vanuatu),VUV,0.03364,2023-07-21
wymienialna marka (Bośnia i Hercegowina),BAM,2.2694,2023-07-21
